universe,strategy_sharpe,strategy_return,strategy_vol,strategy_max_dd,strategy_calmar,strategy_turnover,ew_sharpe,ew_return,ew_max_dd,benchmark_sharpe
Multi-Asset,0.4516122852806976,0.04191201291352382,0.0641480294642259,-0.14272567445637646,0.2936543342545847,11.46392336596497,0.25956264521575667,0.0419891266947036,-0.25067840676105146,0.5839812604441037
International,1.0449444087799098,0.06876177971419954,0.0534189230683039,-0.07322222888972094,0.9390834007219417,9.050363247953731,0.1108076535539628,0.03626172001297718,-0.5831893521685872,0.5839812604441037
Factor,1.209273968112212,0.06084159197246989,0.03934511237301315,-0.061205187335308456,0.9940594028273023,4.0633547960198655,0.5094305155078346,0.08484660169819296,-0.44409045175784156,0.3667679288910425
