cost_bps,ann_return,ann_vol,sharpe,sortino,max_dd
0,0.12416444748871919,0.1379430253642231,0.8062928333209853,0.7732179611184439,-0.18863046363286362
5,0.12222262849788014,0.13795783450205448,0.7921308286795519,0.7589108055586079,-0.1902287334368081
10,0.12028080950704108,0.1379742178296504,0.7779629880463287,0.744435655758773,-0.1922895978907023
15,0.11833899051620203,0.1379921747863166,0.763789801475917,0.7299903580281879,-0.19435369861753318
20,0.11639717152536297,0.13801170475780986,0.7496117592053538,0.7157579465877772,-0.196417799344364
30,0.11251353354368486,0.13805548102119625,0.7212430689185458,0.687538427092961,-0.20054600079802576
50,0.10474625758032866,0.13816187678162045,0.6644689909250717,0.6307056669862565,-0.2088024037053491
