cost_model,base_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_dd,turnover
flat_10bps,10,0.12028080950704108,0.1379742178296504,0.7779629880463287,0.744435655758773,0.625519065131172,-0.1922895978907023,3.883637981678108
vix_scaled,10,0.1181125819382732,0.13803493645039291,0.7619129613982778,0.7280516347321832,0.5981051485528257,-0.19747795554687703,3.883637981678108
vix_scaled_conservative,15,0.11508664916305021,0.1380880866639521,0.7397066387102303,0.705571510185106,0.5693518982635297,-0.20213623510179518,3.883637981678108
