strategy,ann_return,ann_vol,sharpe,sortino,calmar,max_dd,max_dd_duration,turnover
Regime-Adaptive,0.05800027203699897,0.046390608231502324,0.9712805894075378,1.0166885041981393,0.935157772839115,-0.06202191087062414,354,9.845785974822808
Vol Targeting,0.07244310912825118,0.12119581491648941,0.4909504048330341,0.451627558625589,0.324410604181021,-0.22330684692362257,534,0.0
MA Timing (200d),0.1487629521140731,0.10919381858027705,1.2438522541758084,1.273592485211155,1.4402432787499988,-0.10329015542650954,213,0.0
Risk Parity,0.08264791158354873,0.15341290708132102,0.4543681374583939,0.4220126354203574,0.1890927923388683,-0.43707594859267584,539,0.0
Drawdown Control,0.15001455283820395,0.11314376424342468,1.2114903461437438,1.1987400353223903,1.7550817146748021,-0.08547439790631062,168,0.0
SPY (Buy & Hold),0.11793290920389499,0.17978476636925064,0.5839812604441041,0.5439483511796379,0.28274236577871725,-0.4171037788379859,512,0.0
