period,strategy_return,strategy_vol,strategy_sharpe,strategy_max_dd,spy_return,spy_vol,spy_sharpe,spy_max_dd,sharpe_diff
2009-2012 (post-GFC recovery),0.11672596171374204,0.16971865321338106,0.6115060720657913,-0.1922895978907023,0.10695355507491029,0.20752394864528942,0.4530155722155638,-0.3165164880398418,0.1584904998502275
2013-2016 (low-vol bull),0.11238123814444262,0.12407700767143495,0.8014318307613757,-0.14534231164573003,0.11270884520653239,0.12915800603197075,0.7724404668411009,-0.15491599659459032,0.028991363920274793
2017-2019 (late cycle),0.12434965689256712,0.10343098732159062,1.0771209387689966,-0.12969656230228238,0.12184600897435083,0.12907279334050556,0.8437412054461472,-0.22537709217850485,0.23337973332284945
2020-2022 (COVID + rate hikes),0.13737072387027385,0.15893542974368433,0.7828886821523009,-0.14736588982503834,0.057476329317531195,0.2519068152803665,0.17678900246122473,-0.41710377883798616,0.6060996796910761
2023-2025 (recovery),0.11435205288716638,0.11427185985540925,0.8874457656027618,-0.11985327711055557,0.19656780211486488,0.1531551551455008,1.198952965112308,-0.21070750214180106,-0.3115071995095463
